date,cases,deaths,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,0.0,0.0,0,0,0,0
2020-01-04,0.0,0.0,0,0,0,0
2020-01-05,0.0,0.0,0,0,0,0
2020-01-06,0.0,0.0,0,0,0,0
2020-01-07,0.0,0.0,0,0,0,0
2020-01-08,0.0,0.0,0,0,0,0
2020-01-09,0.0,0.0,0,0,0,0
2020-01-10,0.0,0.0,0,0,0,0
2020-01-11,0.0,0.0,0,0,0,0
2020-01-12,0.0,0.0,0,0,0,0
2020-01-13,0.0,0.0,0,0,0,0
2020-01-14,0.0,0.0,0,0,0,0
2020-01-15,0.0,0.0,0,0,0,0
2020-01-16,0.0,0.0,0,0,0,0
2020-01-17,0.0,0.0,0,0,0,0
2020-01-18,0.0,0.0,0,0,0,0
2020-01-19,0.0,0.0,0,0,1,0
2020-01-20,0.0,0.0,0,0,0,0
2020-01-21,0.0,0.0,0,0,0,0
2020-01-22,0.0,0.0,0,0,0,0
2020-01-23,0.0,0.0,0,0,0,0
2020-01-24,0.0,0.0,0,0,0,0
2020-01-25,0.0,0.0,0,0,0,0
2020-01-26,0.0,0.0,1,0,0,0
2020-01-27,0.0,0.0,0,0,0,0
2020-01-28,0.0,0.0,0,0,1,0
2020-01-29,0.0,0.0,0,0,0,0
2020-01-30,0.0,0.0,0,0,0,1
2020-01-31,0.0,0.0,0,0,1,0
2020-02-01,0.0,0.0,0,0,0,0
2020-02-02,4.0,0.0,-1.0,0,-1.0,0
2020-02-03,4.0,0.0,0,0,0,0
2020-02-04,4.0,0.0,0.25,0,0,0
2020-02-05,4.0,0.0,0,0,0,0
2020-02-06,4.0,0.0,0,1,0,0
2020-02-07,4.0,0.0,0.5,0,0,0
2020-02-08,4.0,0.0,0,0,0,0
2020-02-09,4.0,0.0,0,0,0.25,0
2020-02-10,4.0,0.0,0,0,0.25,0
2020-02-11,5.0,0.0,-0.2,0,0.2,0
2020-02-12,5.0,0.0,0,0,0.4,0
2020-02-13,5.0,1.0,0,-1.0,0.2,-1.0
2020-02-14,7.0,1.0,-0.2857142857142857,0,0.7142857142857143,0
